Model,Noise,Level,mAP@50,Precision,Recall,F1,Latency(ms)
YOLOv8n,Gaussian,0.0,0.8310596545289901,0.8470588235294118,0.7322033898305085,0.7854540480994885,78.50513400000636
YOLOv8n,Gaussian,0.1,0.7228506987389646,0.821256038647343,0.576271186440678,0.6772903520185688,78.11379700000543
YOLOv8n,Gaussian,0.2,0.6124628891548702,0.84251968503937,0.36271186440677966,0.5071085839831887,87.10552000000462
YOLOv8n,Gaussian,0.5,0.5033788395904438,1.0,0.006779661016949152,0.013468000090706983,92.96576400000049
YOLOv8n,Gaussian,1.0,0.0,0.0,0.0,0.0,97.82430799999929
YOLOv8n,Gaussian,2.0,0.0,0.0,0.0,0.0,100.4582180000034
YOLOv8n,Salt_Pepper,0.0,0.8310596545289901,0.8470588235294118,0.7322033898305085,0.7854540480994885,98.66083700000672
YOLOv8n,Salt_Pepper,0.01,0.7203850401009467,0.8888888888888888,0.5152542372881356,0.6523600504249105,99.20601599998918
YOLOv8n,Salt_Pepper,0.05,0.6524264572253193,0.8098159509202454,0.44745762711864406,0.5764187555065525,100.84921499999837
YOLOv8n,Salt_Pepper,0.1,0.5556698056604046,0.8,0.2983050847457627,0.4345675055635367,102.42441000000326
YOLOv8n,Salt_Pepper,0.3,0.33725255972696244,0.6666666666666666,0.006779661016949152,0.013422798860441287,101.09029599998394
YOLOv8n,Salt_Pepper,0.5,0.0,0.0,0.0,0.0,101.85977799999819
YOLOv8n,Poisson,0.0,0.8310596545289901,0.8470588235294118,0.7322033898305085,0.7854540480994885,98.73003499998958
YOLOv8n,Poisson,0.01,0.3166740782437377,0.5882352941176471,0.03389830508474576,0.0641024610660762,99.79263199998968
YOLOv8n,Poisson,0.05,0.6619318101203566,0.8516129032258064,0.44745762711864406,0.5866662150620761,100.50874800001111
YOLOv8n,Poisson,0.1,0.714736624237158,0.844559585492228,0.5525423728813559,0.6680323087295146,101.91800500000681
YOLOv8n,Poisson,1.0,0.8116209267954776,0.8680851063829788,0.6915254237288135,0.7698108271630079,463.32621100000324
YOLOv8n,Poisson,10.0,0.8288869810141675,0.856,0.7254237288135593,0.7853206043265493,139.20464900000297
YOLOv8s,Gaussian,0.0,0.8704023771657443,0.8458781362007168,0.8,0.8222991519567435,395.5188929999895
YOLOv8s,Gaussian,0.1,0.7943580669787619,0.7992277992277992,0.7016949152542373,0.7472919208842218,268.64059599998654
YOLOv8s,Gaussian,0.2,0.6694989846208351,0.8385093167701864,0.4576271186440678,0.5921048063349938,263.99440299999696
YOLOv8s,Gaussian,0.5,0.5016836734693878,1.0,0.003389830508474576,0.006756750022833593,254.87485699999525
YOLOv8s,Gaussian,1.0,0.0,0.0,0.0,0.0,267.00805099999343
YOLOv8s,Gaussian,2.0,0.0,0.0,0.0,0.0,312.83920100000614
YOLOv8s,Salt_Pepper,0.0,0.8704023771657443,0.8458781362007168,0.8,0.8222991519567435,261.41052600001785
YOLOv8s,Salt_Pepper,0.01,0.7398094860677908,0.8788440321932797,0.5655547820281022,0.6882228039217799,259.0353479999976
YOLOv8s,Salt_Pepper,0.05,0.6362751893106329,0.7764705882352941,0.44745762711864406,0.5677414716155947,262.98086000000694
YOLOv8s,Salt_Pepper,0.1,0.5563031341885902,0.7421875,0.3220338983050847,0.44917215476569455,249.18535000000702
YOLOv8s,Salt_Pepper,0.3,0.24254235752468964,0.4444444444444444,0.04067796610169491,0.07453400785109406,249.62513099999342
YOLOv8s,Salt_Pepper,0.5,0.0,0.0,0.0,0.0,250.5784830000084
YOLOv8s,Poisson,0.0,0.8704023771657443,0.8458781362007168,0.8,0.8222991519567435,266.69049000000086
YOLOv8s,Poisson,0.01,0.37905820399113077,0.7272727272727273,0.02711864406779661,0.0522875123884895,300.200363999993
YOLOv8s,Poisson,0.05,0.7292165018627125,0.8292682926829268,0.576271186440678,0.6799995162003442,258.12902000001486
YOLOv8s,Poisson,0.1,0.7800594827575847,0.8351557111010595,0.652615783300561,0.7326870212066495,250.68433899999948
YOLOv8s,Poisson,1.0,0.8502614151974518,0.8761199560135626,0.735593220338983,0.7997297651197108,251.01811399999863
YOLOv8s,Poisson,10.0,0.8669530708547161,0.8956604692501694,0.756566389937815,0.820258058308787,248.74208299999736
YOLOv9t,Gaussian,0.0,0.8484323699007976,0.884,0.7491525423728813,0.8110086777210347,151.88412299999982
YOLOv9t,Gaussian,0.1,0.7785068276714562,0.8552036199095022,0.6406779661016949,0.7325576498185475,139.231577999999
YOLOv9t,Gaussian,0.2,0.6755311967780965,0.8607594936708861,0.4610169491525424,0.6004410468355216,139.59628200000225
YOLOv9t,Gaussian,0.5,0.5050839041095891,1.0,0.010169491525423728,0.02013420825640458,140.74193200000082
YOLOv9t,Gaussian,1.0,0.0,0.0,0.0,0.0,3906.897861999987
YOLOv9t,Gaussian,2.0,0.0,0.0,0.0,0.0,195.2852080000048
YOLOv9t,Salt_Pepper,0.0,0.8484323699007976,0.884,0.7491525423728813,0.8110086777210347,155.53787799999554
YOLOv9t,Salt_Pepper,0.01,0.7423914312264719,0.9005524861878453,0.5525423728813559,0.684873478259275,138.1098810000003
YOLOv9t,Salt_Pepper,0.05,0.6877980497343981,0.8538011695906432,0.49491525423728816,0.6266089774635507,137.8746399999909
YOLOv9t,Salt_Pepper,0.1,0.6099498071833194,0.7814569536423841,0.4,0.5291475341856635,138.17011199998888
YOLOv9t,Salt_Pepper,0.3,0.4429372971593189,0.8181818181818182,0.061016949152542375,0.11356453960149632,140.37333100000978
YOLOv9t,Salt_Pepper,0.5,0.0,0.0,0.0,0.0,140.4271659999904
YOLOv9t,Poisson,0.0,0.8484323699007976,0.884,0.7491525423728813,0.8110086777210347,138.82231199999296
YOLOv9t,Poisson,0.01,0.49805072860700705,0.8301886792452831,0.14915254237288136,0.2528733050108331,138.14662799999496
YOLOv9t,Poisson,0.05,0.7179502416104069,0.8707865168539326,0.5254237288135594,0.6553906511005512,139.9171639999986
YOLOv9t,Poisson,0.1,0.7710547295474854,0.8798076923076923,0.6203389830508474,0.7276337097893032,138.96982899999784
YOLOv9t,Poisson,1.0,0.8264182048747283,0.8683127572016461,0.7152542372881356,0.784386121771709,139.01058499999635
YOLOv9t,Poisson,10.0,0.8445205100728554,0.8795180722891566,0.7423728813559322,0.8051465623989329,135.14187000000675
YOLOv9s,Gaussian,0.0,0.8700902272966236,0.890778999730933,0.7694915254237288,0.8257045681181896,307.1991580000031
YOLOv9s,Gaussian,0.1,0.8206903727424063,0.8749118609973213,0.6983050847457627,0.7766951844046409,302.3674089999986
YOLOv9s,Gaussian,0.2,0.7255057503829635,0.801773054915739,0.5796610169491525,0.6728605547092128,287.4480940000103
YOLOv9s,Gaussian,0.5,0.4446663384935724,0.7619047619047619,0.10847457627118644,0.1899107610353923,281.2998119999975
YOLOv9s,Gaussian,1.0,0.0,0.0,0.0,0.0,277.32710499996756
YOLOv9s,Gaussian,2.0,0.0,0.0,0.0,0.0,274.54414600000746
YOLOv9s,Salt_Pepper,0.0,0.8700902272966236,0.890778999730933,0.7694915254237288,0.8257045681181896,300.7292989999769
YOLOv9s,Salt_Pepper,0.01,0.7856930398826543,0.9029126213592233,0.6305084745762712,0.7425144858390177,314.31105200001184
YOLOv9s,Salt_Pepper,0.05,0.7069274357099231,0.8140703517587939,0.5491525423728814,0.6558699642269425,306.55257400001574
YOLOv9s,Salt_Pepper,0.1,0.6369927711483483,0.7354497354497355,0.4711864406779661,0.5743796892719607,301.6998450000028
YOLOv9s,Salt_Pepper,0.3,0.442228602383532,0.8461538461538461,0.03728813559322034,0.07142849057607398,301.7720869999903
YOLOv9s,Salt_Pepper,0.5,0.0,0.0,0.0,0.0,292.61645800001133
YOLOv9s,Poisson,0.0,0.8700902272966236,0.890778999730933,0.7694915254237288,0.8257045681181896,356.68680999999197
YOLOv9s,Poisson,0.01,0.5685408719017704,0.7886178861788617,0.3288135593220339,0.46411441719549085,306.2917030000244
YOLOv9s,Poisson,0.05,0.7725873472559714,0.810126582278481,0.6508474576271186,0.7218040172214926,290.35236700001406
YOLOv9s,Poisson,0.1,0.7994943755404023,0.8704444338819642,0.6677966101694915,0.7557716219435664,287.89258799999516
YOLOv9s,Poisson,1.0,0.861984936509583,0.9159488517326428,0.7389830508474576,0.818003770205243,283.2011540000167
YOLOv9s,Poisson,10.0,0.8811739871609129,0.8798558310362319,0.7932203389830509,0.8342945000471558,307.6910059999864
YOLOv10n,Gaussian,0.0,0.8084693381104503,0.9181962060175053,0.6610169491525424,0.7686649120236335,125.7848119999835
YOLOv10n,Gaussian,0.1,0.755146881690351,0.8570203285589213,0.5932203389830508,0.7011271310178033,112.58140999998432
YOLOv10n,Gaussian,0.2,0.6018108023383696,0.8015267175572519,0.3559322033898305,0.492957320582704,113.15232500001002
YOLOv10n,Gaussian,0.5,0.40841443298969077,0.8,0.013559322033898305,0.02666663388892918,118.20565000001807
YOLOv10n,Gaussian,1.0,0.0,0.0,0.0,0.0,110.10635000002367
YOLOv10n,Gaussian,2.0,0.0,0.0,0.0,0.0,111.93327600001794
YOLOv10n,Salt_Pepper,0.0,0.8084693381104503,0.9181962060175053,0.6610169491525424,0.7686649120236335,105.64197600000625
YOLOv10n,Salt_Pepper,0.01,0.724903449159617,0.8926381832885256,0.5186440677966102,0.656085868085469,104.67025300000387
YOLOv10n,Salt_Pepper,0.05,0.6597186612756931,0.8451612903225807,0.4440677966101695,0.5822217706176344,105.28811900003348
YOLOv10n,Salt_Pepper,0.1,0.6285338557646987,0.8571428571428571,0.36610169491525424,0.5130637135880568,106.89410300001327
YOLOv10n,Salt_Pepper,0.3,0.5101678200692041,1.0,0.020338983050847456,0.039867070562173375,117.47382800000196
YOLOv10n,Salt_Pepper,0.5,0.0,0.0,0.0,0.0,109.72177699997701
