Model,Noise,Level,RRI
YOLOv8n,Gaussian,0.0,1.0
YOLOv8n,Gaussian,0.1,0.8697939970971712
YOLOv8n,Gaussian,0.2,0.7369662163445879
YOLOv8n,Gaussian,0.5,0.6057072279314749
YOLOv8n,Gaussian,1.0,0.0
YOLOv8n,Gaussian,2.0,0.0
YOLOv8n,Salt_Pepper,0.0,1.0
YOLOv8n,Salt_Pepper,0.01,0.8668271118385971
YOLOv8n,Salt_Pepper,0.05,0.7850537006216327
YOLOv8n,Salt_Pepper,0.1,0.6686280613337379
YOLOv8n,Salt_Pepper,0.3,0.4058102903793388
YOLOv8n,Salt_Pepper,0.5,0.0
YOLOv8n,Poisson,0.0,1.0
YOLOv8n,Poisson,0.01,0.38104855231266804
YOLOv8n,Poisson,0.05,0.7964913306921534
YOLOv8n,Poisson,0.1,0.8600304687420314
YOLOv8n,Poisson,1.0,0.9766097083072459
YOLOv8n,Poisson,10.0,0.9973856587755375
YOLOv8s,Gaussian,0.0,1.0
YOLOv8s,Gaussian,0.1,0.9126331542951406
YOLOv8s,Gaussian,0.2,0.7691833135852608
YOLOv8s,Gaussian,0.5,0.5763813227429363
YOLOv8s,Gaussian,1.0,0.0
YOLOv8s,Gaussian,2.0,0.0
YOLOv8s,Salt_Pepper,0.0,1.0
YOLOv8s,Salt_Pepper,0.01,0.8499626212841953
YOLOv8s,Salt_Pepper,0.05,0.7310126971189
YOLOv8s,Salt_Pepper,0.1,0.6391332891346844
YOLOv8s,Salt_Pepper,0.3,0.27865544015914845
YOLOv8s,Salt_Pepper,0.5,0.0
YOLOv8s,Poisson,0.0,1.0
YOLOv8s,Poisson,0.01,0.4354976662925054
YOLOv8s,Poisson,0.05,0.8377924061251193
YOLOv8s,Poisson,0.1,0.8962055978036969
YOLOv8s,Poisson,1.0,0.9768601712303719
YOLOv8s,Poisson,10.0,0.9960371129473933
YOLOv9t,Gaussian,0.0,1.0
YOLOv9t,Gaussian,0.1,0.9175826563082248
YOLOv9t,Gaussian,0.2,0.7962110130912172
YOLOv9t,Gaussian,0.5,0.5953142784599859
YOLOv9t,Gaussian,1.0,0.0
YOLOv9t,Gaussian,2.0,0.0
YOLOv9t,Salt_Pepper,0.0,1.0
YOLOv9t,Salt_Pepper,0.01,0.8750154491550994
YOLOv9t,Salt_Pepper,0.05,0.810669269743702
YOLOv9t,Salt_Pepper,0.1,0.7189138802597045
YOLOv9t,Salt_Pepper,0.3,0.5220655327084103
YOLOv9t,Salt_Pepper,0.5,0.0
YOLOv9t,Poisson,0.0,1.0
YOLOv9t,Poisson,0.01,0.5870246660499779
YOLOv9t,Poisson,0.05,0.8462079796582405
YOLOv9t,Poisson,0.1,0.9087992831268809
YOLOv9t,Poisson,1.0,0.9740531292686967
YOLOv9t,Poisson,10.0,0.9953893086040557
YOLOv9s,Gaussian,0.0,1.0
YOLOv9s,Gaussian,0.1,0.9432244461500241
YOLOv9s,Gaussian,0.2,0.8338281796786926
YOLOv9s,Gaussian,0.5,0.5110577323401894
YOLOv9s,Gaussian,1.0,0.0
YOLOv9s,Gaussian,2.0,0.0
YOLOv9s,Salt_Pepper,0.0,1.0
YOLOv9s,Salt_Pepper,0.01,0.9030017982431638
YOLOv9s,Salt_Pepper,0.05,0.8124760094207145
YOLOv9s,Salt_Pepper,0.1,0.7320996733034105
YOLOv9s,Salt_Pepper,0.3,0.5082560273749303
YOLOv9s,Salt_Pepper,0.5,0.0
YOLOv9s,Poisson,0.0,1.0
YOLOv9s,Poisson,0.01,0.6534274883976469
YOLOv9s,Poisson,0.05,0.8879393458496894
YOLOv9s,Poisson,0.1,0.918863757411041
YOLOv9s,Poisson,1.0,0.9906845399100461
YOLOv9s,Poisson,10.0,1.012738632749303
YOLOv10n,Gaussian,0.0,1.0
YOLOv10n,Gaussian,0.1,0.9340451716515011
YOLOv10n,Gaussian,0.2,0.7443829641640067
YOLOv10n,Gaussian,0.5,0.5051699721157448
YOLOv10n,Gaussian,1.0,0.0
YOLOv10n,Gaussian,2.0,0.0
YOLOv10n,Salt_Pepper,0.0,1.0
YOLOv10n,Salt_Pepper,0.01,0.8966369100080617
YOLOv10n,Salt_Pepper,0.05,0.8160095011365349
YOLOv10n,Salt_Pepper,0.1,0.7774368502752427
YOLOv10n,Salt_Pepper,0.3,0.6310292747299054
YOLOv10n,Salt_Pepper,0.5,0.0
YOLOv10n,Poisson,0.0,1.0
YOLOv10n,Poisson,0.01,0.4806987553285081
YOLOv10n,Poisson,0.05,0.8063586214949602
YOLOv10n,Poisson,0.1,0.9270640523992295
YOLOv10n,Poisson,1.0,0.9957715473596086
YOLOv10n,Poisson,10.0,1.006314530023193
YOLOv10s,Gaussian,0.0,1.0
YOLOv10s,Gaussian,0.1,0.9000284013436912
YOLOv10s,Gaussian,0.2,0.8376106358481582
YOLOv10s,Gaussian,0.5,0.5174904127461216
YOLOv10s,Gaussian,1.0,0.0
YOLOv10s,Gaussian,2.0,0.0
YOLOv10s,Salt_Pepper,0.0,1.0
YOLOv10s,Salt_Pepper,0.01,0.8855633362680397
YOLOv10s,Salt_Pepper,0.05,0.7771279707423076
YOLOv10s,Salt_Pepper,0.1,0.7238410645297798
YOLOv10s,Salt_Pepper,0.3,0.34934074208147586
YOLOv10s,Salt_Pepper,0.5,0.0
YOLOv10s,Poisson,0.0,1.0
YOLOv10s,Poisson,0.01,0.520848729234262
YOLOv10s,Poisson,0.05,0.8702399501346849
YOLOv10s,Poisson,0.1,0.8979265177578736
YOLOv10s,Poisson,1.0,0.9756551651221728
YOLOv10s,Poisson,10.0,0.9998929969894007
YOLO11n,Gaussian,0.0,1.0
YOLO11n,Gaussian,0.1,0.8788098209556782
YOLO11n,Gaussian,0.2,0.6907690985841408
YOLO11n,Gaussian,0.5,0.0
YOLO11n,Gaussian,1.0,0.0
YOLO11n,Gaussian,2.0,0.0
YOLO11n,Salt_Pepper,0.0,1.0
YOLO11n,Salt_Pepper,0.01,0.8861795705448856
YOLO11n,Salt_Pepper,0.05,0.735985641551551
YOLO11n,Salt_Pepper,0.1,0.6633178810489965
YOLO11n,Salt_Pepper,0.3,0.6033597568290652
YOLO11n,Salt_Pepper,0.5,0.0
YOLO11n,Poisson,0.0,1.0
YOLO11n,Poisson,0.01,0.5336831579808597
YOLO11n,Poisson,0.05,0.7769080702612117
YOLO11n,Poisson,0.1,0.8971003902801141
YOLO11n,Poisson,1.0,0.9877000962386877
YOLO11n,Poisson,10.0,0.9935743086459948
YOLO11s,Gaussian,0.0,1.0
YOLO11s,Gaussian,0.1,0.9327463801381417
YOLO11s,Gaussian,0.2,0.7925681087069215
YOLO11s,Gaussian,0.5,0.0
YOLO11s,Gaussian,1.0,0.0
YOLO11s,Gaussian,2.0,0.0
YOLO11s,Salt_Pepper,0.0,1.0
YOLO11s,Salt_Pepper,0.01,0.8339590363386611
YOLO11s,Salt_Pepper,0.05,0.7077265159032463
YOLO11s,Salt_Pepper,0.1,0.7059712735029491
YOLO11s,Salt_Pepper,0.3,0.4198873341580238
YOLO11s,Salt_Pepper,0.5,0.0
YOLO11s,Poisson,0.0,1.0
YOLO11s,Poisson,0.01,0.4538478871991866
YOLO11s,Poisson,0.05,0.8403029636281196
YOLO11s,Poisson,0.1,0.9052412912792748
YOLO11s,Poisson,1.0,0.9913282660972494
YOLO11s,Poisson,10.0,0.9992132651544527
YOLO26n,Gaussian,0.0,1.0
YOLO26n,Gaussian,0.1,0.8976312114957565
YOLO26n,Gaussian,0.2,0.7863877548360694
YOLO26n,Gaussian,0.5,0.0
YOLO26n,Gaussian,1.0,0.0
YOLO26n,Gaussian,2.0,0.0
YOLO26n,Salt_Pepper,0.0,1.0
YOLO26n,Salt_Pepper,0.01,0.8579079404333784
YOLO26n,Salt_Pepper,0.05,0.808107438932074
YOLO26n,Salt_Pepper,0.1,0.7362093776332145
YOLO26n,Salt_Pepper,0.3,0.40185335077561074
YOLO26n,Salt_Pepper,0.5,0.0
YOLO26n,Poisson,0.0,1.0
YOLO26n,Poisson,0.01,0.6159561911332623
YOLO26n,Poisson,0.05,0.8061534674506231
YOLO26n,Poisson,0.1,0.9140659833487402
YOLO26n,Poisson,1.0,0.9692169504051734
YOLO26n,Poisson,10.0,1.0009183654580274
YOLO26s,Gaussian,0.0,1.0
YOLO26s,Gaussian,0.1,0.9153166233047091
YOLO26s,Gaussian,0.2,0.7736197187850746
YOLO26s,Gaussian,0.5,0.0
YOLO26s,Gaussian,1.0,0.0
YOLO26s,Gaussian,2.0,0.0
YOLO26s,Salt_Pepper,0.0,1.0
YOLO26s,Salt_Pepper,0.01,0.8310166759470605
YOLO26s,Salt_Pepper,0.05,0.6663547433197645
YOLO26s,Salt_Pepper,0.1,0.6050824203539871
YOLO26s,Salt_Pepper,0.3,0.5716331357098898
YOLO26s,Salt_Pepper,0.5,0.0
YOLO26s,Poisson,0.0,1.0
YOLO26s,Poisson,0.01,0.49423503805057095
YOLO26s,Poisson,0.05,0.8495927056163429
YOLO26s,Poisson,0.1,0.9026962241938071
YOLO26s,Poisson,1.0,0.9731539008633068
YOLO26s,Poisson,10.0,1.0015958101278337
